number,value,params_criterion,params_hidden_layers,params_lr,params_neurons_0,params_neurons_1,params_neurons_2,params_neurons_3,params_neurons_4,params_optimizer
3,0.8571957945823669,BCEwithlogit,5,3.3402263766347595e-06,83,80.0,78.0,14.0,33.0,RMSprop
2,0.8674839735031128,BCEwithlogit,5,0.0022174033043679178,57,69.0,46.0,65.0,45.0,RMSprop
1,0.8680282235145569,BCE,5,0.0250944694708244,70,82.0,17.0,70.0,56.0,SGD
4,0.8720834255218506,BCE,1,0.018986209061010846,79,,,,,SGD
12,0.8729707598686218,BCE,3,0.00020898525088013155,47,12.0,57.0,,,RMSprop
0,0.8730374574661255,BCE,5,0.0028088886116151386,89,21.0,23.0,84.0,55.0,RMSprop
20,0.8733013272285461,BCE,4,0.001163396552475485,48,67.0,34.0,41.0,,Adam
15,0.8733197450637817,BCE,2,0.001424918294403581,27,100.0,,,,Adam
11,0.8733385801315308,BCE,4,0.000614397391491349,57,14.0,10.0,91.0,,RMSprop
7,0.8733715415000916,BCE,1,0.0006025776396442439,68,,,,,RMSprop
14,0.8734001517295837,BCE,4,0.0010143937859142783,33,97.0,41.0,42.0,,Adam
32,0.8734068274497986,BCE,5,0.0007396478589804629,82,76.0,53.0,28.0,100.0,RMSprop
19,0.8734095692634583,BCE,4,0.0009514424021593154,68,63.0,36.0,41.0,,Adam
28,0.8734208941459656,BCE,3,0.001160292685253961,38,94.0,53.0,,,Adam
49,0.8734471797943115,BCE,3,0.0006525754371393482,58,81.0,44.0,,,Adam
37,0.8734997510910034,BCE,5,0.00089305601432217,74,62.0,56.0,21.0,78.0,Adam
