,Test Params,Subset Accuracy,Hamming Loss,Accuracy (Exp),Precision (Exp),Recall (Exp),F1 Score (Exp),One Error,Coverage,Ranking Loss,Average Precision,Accuracy (Micro),Accuracy (Macro),Precision (Micro),Precision (Macro),Recall (Micro),Recall (Macro),F1 Score (Micro),F1 Score (Macro),AUC (Micro),AUC (Macro)
0,"[0.09500763931836997, 0.124127777200923, 0.4922225055277898]",0.4021875262260437,0.1329015642404556,0.8364,0.9996,0.9917,0.906476616859436,0.0697566289388384,6.263448715209961,0.0889622569084167,0.927237629890442,0.8670984506607056,0.8670984506607056,0.8901453018188477,0.8734381198883057,0.9595510363578796,0.942535936832428,0.923546016216278,0.906476616859436,0.8661057949066162,0.7786943316459656
0,"[0.2642058115324235, 0.20210996311222076, 0.30160670905442266]",0.4050861299037933,0.1316780745983123,0.8364,0.9996,0.9974,0.9075692892074584,0.0694245177745895,6.258422374725342,0.0881520733237266,0.927793025970459,0.86832195520401,0.8683218955993652,0.8908030986785889,0.8746068477630615,0.9603107571601868,0.9437482357025146,0.924251914024353,0.9075692892074584,0.8633450865745544,0.7759084701538086
0,"[0.2831672903498233, 0.26737313271716306, 0.23089049063663802]",0.4021262228488922,0.1323873996734619,0.8364,0.9996,0.988,0.9086031913757324,0.0691986821829002,6.2625732421875,0.0887204110622406,0.9277787804603576,0.8676126003265381,0.8676126003265381,0.88702791929245,0.8719648122787476,0.964596688747406,0.9499579668045044,0.9241875410079956,0.9086031913757324,0.8635391592979431,0.7763399481773376
0,"[0.2965003346772578, 0.20332538511194792, 0.2617992056107445]",0.4096660912036896,0.1307072788476944,0.8364,0.9996,0.9863,0.90937340259552,0.0691455443966204,6.262818336486816,0.0887634679675102,0.9295347332954408,0.8692927360534668,0.8692927360534668,0.888640284538269,0.8728417158126831,0.9646371006965636,0.9497364163398744,0.9250805377960204,0.90937340259552,0.8645330667495728,0.7795728445053101
0,"[0.29748295149940013, 0.23118793026803292, 0.28858336870989054]",0.4077132642269134,0.1298403292894363,0.8364,0.9996,0.9918,0.9104433059692384,0.0698097667251182,6.262722015380859,0.0886537060141563,0.9290236234664916,0.8701596856117249,0.8701596260070801,0.8881865739822388,0.8727478981018066,0.9664570689201356,0.9523091912269592,0.9256702065467834,0.9104433059692384,0.8639153838157654,0.7821172475814819
0,"[0.302530576457759, 0.22575559839229195, 0.2603549059182288]",0.3965391814708709,0.1336646825075149,0.8364,0.9996,1.0031,0.9042264223098756,0.0692252510760401,6.267258167266846,0.0895278081297874,0.9273491501808168,0.8663353323936462,0.8663352727890015,0.8938373923301697,0.8772424459457397,0.953463077545166,0.9342185258865356,0.9226879477500916,0.9042264223098756,0.8617234826087952,0.7750148177146912
0,"[0.3169580498878183, 0.2005247298770219, 0.2917563393221241]",0.3965567052364349,0.1339549124240875,0.8364,0.9996,0.9822,0.9091464281082152,0.0702348690153568,6.263256072998047,0.0889699906110763,0.9276474714279176,0.8660450577735901,0.8660451173782349,0.8819324970245361,0.867527961730957,0.9696872234344482,0.9570782780647278,0.9237303733825684,0.9091464281082152,0.8629093170166016,0.7763381004333496
0,"[0.3566768026907917, 0.2613825896636898, 0.317730090479575]",0.3995866775512695,0.1329328417778015,0.8364,0.9996,0.9834,0.909477710723877,0.0696503533662787,6.266172409057617,0.089348591864109,0.9269548654556274,0.8670671582221985,0.8670670986175537,0.8835434317588806,0.8689532279968262,0.9687854647636414,0.955815315246582,0.924203097820282,0.909477710723877,0.8619040250778198,0.7746757864952087
0,"[0.357353702091831, 0.05149992294239014, 0.47360242290897925]",0.3998056054115295,0.1334069669246673,0.8364,0.9996,1.0027,0.9049755334854126,0.069570646686859,6.263615131378174,0.088937297463417,0.9277504086494446,0.8665930032730103,0.8665930032730103,0.8924862146377563,0.8754607439041138,0.955649435520172,0.9370896816253662,0.9229884743690492,0.9049755334854126,0.8647347092628479,0.7777073979377747
0,"[0.3901915037470107, 0.1915080194394447, 0.3324683598049472]",0.388649046421051,0.13604536652565,0.8364,0.9996,0.9832,0.9080060720443726,0.0690924066103406,6.263028144836426,0.0888041853904724,0.925200879573822,0.8639546036720276,0.8639545440673828,0.8800162076950073,0.8660202026367188,0.9695661067962646,0.956953763961792,0.9226232767105104,0.9080060720443726,0.8608078956604004,0.7740381360054016
0,"[0.4149914803121568, 0.19114172034429927, 0.40901225412846326]",0.3902603387832641,0.1362655311822891,0.8364,0.9996,0.9823,0.906362533569336,0.0695175089005792,6.273746967315674,0.0905048251152038,0.925037443637848,0.8637344837188721,0.8637344837188721,0.8828672170639038,0.8673149347305298,0.9651604890823364,0.950530171394348,0.9221816062927246,0.906362533569336,0.8619734644889832,0.7732353210449219
0,"[0.4195099878736405, 0.4530816554777814, 0.35115998102347445]",0.3814331889152527,0.1382408887147903,0.8364,0.9996,0.9831,0.9070870876312256,0.0700090334236675,6.278589725494385,0.09138023853302,0.921488344669342,0.8617591261863708,0.8617590665817261,0.8773046135902405,0.86380934715271,0.9704738259315492,0.9582467675209044,0.9215403199195862,0.9070870876312256,0.8590024709701538,0.7680345773696899
0,"[0.45087326245997694, 0.4953975977893682, 0.40593532513980735]",0.3816521167755127,0.1383197158575058,0.8364,0.9996,0.9861,0.906556248664856,0.0700488867633774,6.27758264541626,0.091216042637825,0.9210601449012756,0.861680269241333,0.861680269241333,0.8783150911331177,0.8644124269485474,0.9688871502876282,0.9559841752052308,0.9213806390762328,0.906556248664856,0.85854572057724,0.7682406306266785
0,"[0.4840100459848325, 0.13574144837688995, 0.47804748040403267]",0.3809953331947326,0.1387600600719452,0.8364,0.9996,0.9916,0.9057055711746216,0.0776608746479621,6.276181697845459,0.0915075093507766,0.9215397238731384,0.8612399101257324,0.8612399101257324,0.8791095018386841,0.8645726442337036,0.9671210050582886,0.953386664390564,0.9210174679756165,0.9057055711746216,0.8580083847045898,0.7681282162666321
